#taxID	genomeID	completeness-contamination
1005440	1005440.3	99.5
101571	101571.110	98.44
1028307	1028307.3	99.61
1035197	1035197.3	96.75
1035817	1035817.4	100
1047019	1047019.3	28.08
1047070	1047070.3	83.05
1052680	1052680.4	99.78
1074106	1074106.3	99.99
1095745	1095745.3	99.77
1097676	1097676.3	99.49
1104595	1104595.3	17.24
1114874	1114874.4	98.93
1116083	1116083.3	99.02
1117313	1117313.3	99.66
1121422	1121422.3	99.27
1122173	1122173.3	97.73
1123312	1123312.3	99.32
1131734	1131734.3	99.48
1138935	1138935.3	99.26
1157640	1157640.3	98.49
1158533	1158533.3	99.11
1159073	1159073.3	99.42
1159554	1159554.7	99.38
1169259	1169259.3	98.45
1185650	1185650.16	99.33
1185650	1185650.234	99.67
1198305	1198305.3	98.46
1208102	1208102.3	98.53
1212491	1212491.3	97.52
1214184	1214184.3	100
1217420	1217420.5	99.03
1225188	1225188.3	97.57
1229781	1229781.4	99.71
1230340	1230340.3	99.45
1231340	1231340.3	99.5
1231623	1231623.3	97.76
1235276	1235276.3	99.04
1247	1247.427	86.76
1249664	1249664.3	97.12
1256195	1256195.3	98.13
1256995	1256995.12	99.66
1262862	1262862.3	98.6
1262927	1262927.3	97.89
1267973	1267973.3	95.79
1270	1270.53	97.1
1280	1280.10025	99.43
1280	1280.10868	99.4
1280	1280.11310	99.43
1280	1280.3814	98.87
1280	1280.3892	98.87
1280	1280.3919	98.87
1280	1280.4137	99.1
1280	1280.4339	98.77
1280	1280.4697	98.87
1280	1280.4961	99.38
1280	1280.5643	99.25
1280	1280.6019	99.29
1280	1280.7272	99.4
1280	1280.7287	99.29
1280	1280.7435	99.29
1280	1280.9146	99.15
1280	1280.9202	99.43
1280	1280.9416	99.29
1280	1280.9733	99.29
1280	1280.9861	99.27
1280	1280.9994	99.43
1280998	1280998.3	98.71
1281189	1281189.3	99.93
1282	1282.1241	99.81
1282	1282.1265	99.81
1282	1282.1281	99.72
1288908	1288908.3	97.75
1302	1302.31	100
1307	1307.480	100
1307	1307.893	100
1307	1307.894	100
1307	1307.993	100
1310661	1310661.3	95.74
1310818	1310818.3	72.42
1311	1311.241	99.82
1313	1313.10107	98.73
1313	1313.10233	89.66
1313	1313.10279	99.35
1313	1313.10361	97.74
1313	1313.10538	98.34
1313	1313.10560	97.74
1313	1313.10667	99.11
1313	1313.10705	99.34
1313	1313.10706	97.85
1313	1313.10753	-8.33
1313	1313.10842	99.35
1313	1313.11355	98.32
1313	1313.11543	98.78
1313	1313.11608	99.02
1313	1313.11803	98.55
1313	1313.11928	99.3
1313	1313.12255	98.86
1313	1313.12345	0
1313	1313.12364	99.52
1313	1313.12508	99.1
1313	1313.12668	79.23
1313	1313.12713	97.99
1313	1313.12929	99.28
1313	1313.13755	99.12
1313	1313.13900	99.62
1313	1313.13980	99.57
1313	1313.5270	99.13
1313	1313.5572	99.31
1313	1313.5607	99.34
1313	1313.5613	99
1313	1313.5721	99.57
1313	1313.6367	99.39
1313	1313.6381	99.22
1313	1313.6497	99.62
1313	1313.7218	99.22
1313	1313.7556	99.62
1313	1313.7860	99.62
1313	1313.8194	99.22
1313	1313.8202	99.08
1313	1313.8251	99.39
1313	1313.8785	99.32
1313	1313.9127	97.52
1313	1313.9166	99.03
1313	1313.9196	99.39
1313	1313.9209	98.89
1314	1314.304	99.85
1314750	1314750.3	98.99
1323664	1323664.6	97.5
1324240	1324240.3	99.94
1324298	1324298.3	99.94
1327958	1327958.3	99.96
1328431	1328431.3	99.89
1329811	1329811.3	99.15
1337888	1337888.4	99.4
1337997	1337997.4	99.37
1345706	1345706.3	99.79
1346710	1346710.3	97.98
1352	1352.1472	99.63
1352	1352.1631	95.25
1352	1352.505	99.63
1352	1352.671	98.88
1353536	1353536.3	99.84
135461	135461.10	99.03
1358412	1358412.3	98.22
1379257	1379257.3	96.02
1381083	1381083.3	99.62
1385984	1385984.4	98.68
1387330	1387330.3	99.07
1388112	1388112.3	99.2
1388178	1388178.3	99.36
1388210	1388210.3	99.19
1388303	1388303.3	99.29
1388413	1388413.3	99.06
1388586	1388586.3	99.43
1388632	1388632.3	99.38
1389423	1389423.3	99.64
1389487	1389487.3	99.45
1390	1390.175	99.44
1392	1392.238	98.15
1392	1392.337	99.08
1396	1396.453	97.64
1400175	1400175.3	99.98
1400184	1400184.3	99.83
1402531	1402531.3	99.25
1402673	1402673.3	99.43
1402766	1402766.3	99.3
1403904	1403904.3	99.18
1408472	1408472.3	99.07
1409542	1409542.3	98.87
1410763	1410763.3	98.87
1410805	1410805.3	99.43
1411551	1411551.3	59.83
1412665	1412665.3	98.87
1412777	1412777.3	99.06
1412789	1412789.3	98.85
1413329	1413329.3	99.43
1413371	1413371.3	99.43
1413419	1413419.3	99.43
1413432	1413432.3	98.87
1417082	1417082.3	98.87
1417217	1417217.3	99.43
1418374	1418374.3	98.87
1420590	1420590.3	98.92
