Host taxid	Host name	pmid	evidence
483218	[Bacteroides] pectinophilus ATCC 43243	26200428	VirSorter
940282	Acetobacter pasteurianus 3P3	26200428	VirSorter
940282	Acetobacter pasteurianus 3P3	26200428	VirSorter
940265	Acetobacter pasteurianus subsp. pasteurianus LMG 1262 = NBRC 106471	26200428	VirSorter
945681	Acetobacter pomorum DM001	26200428	VirSorter
945681	Acetobacter pomorum DM001	26200428	VirSorter
1262684	Acetobacter sp. CAG:267	26200428	VirSorter
749388	Acetobacter tropicalis NBRC 101654	26200428	VirSorter
749388	Acetobacter tropicalis NBRC 101654	26200428	VirSorter
749388	Acetobacter tropicalis NBRC 101654	26200428	VirSorter
749388	Acetobacter tropicalis NBRC 101654	26200428	VirSorter
749388	Acetobacter tropicalis NBRC 101654	26200428	VirSorter
1054213	Acetobacteraceae bacterium AT-5844	26200428	VirSorter
441768	Acholeplasma laidlawii PG-8A	26200428	VirSorter
1156919	Achromobacter piechaudii HLE	26200428	VirSorter
1156919	Achromobacter piechaudii HLE	26200428	VirSorter
1156919	Achromobacter piechaudii HLE	26200428	VirSorter
1263033	Acidaminococcus intestini CAG:325	26200428	VirSorter
397945	Acidovorax citrulli AAC00-1	26200428	VirSorter
397945	Acidovorax citrulli AAC00-1	26200428	VirSorter
573060	Acidovorax delafieldii 2AN	26200428	VirSorter
573060	Acidovorax delafieldii 2AN	26200428	VirSorter
1144317	Acidovorax sp. CF316	26200428	VirSorter
1351817	Acinetobacter baumannii 1605	26200428	VirSorter
696749	Acinetobacter baumannii 1656-2	26200428	VirSorter
886889	Acinetobacter baumannii 3909	26200428	VirSorter
886889	Acinetobacter baumannii 3909	26200428	VirSorter
886889	Acinetobacter baumannii 3909	26200428	VirSorter
886889	Acinetobacter baumannii 3909	26200428	VirSorter
886889	Acinetobacter baumannii 3909	26200428	VirSorter
886888	Acinetobacter baumannii 3990	26200428	VirSorter
886888	Acinetobacter baumannii 3990	26200428	VirSorter
886888	Acinetobacter baumannii 3990	26200428	VirSorter
886888	Acinetobacter baumannii 3990	26200428	VirSorter
886890	Acinetobacter baumannii 4190	26200428	VirSorter
886890	Acinetobacter baumannii 4190	26200428	VirSorter
886890	Acinetobacter baumannii 4190	26200428	VirSorter
886890	Acinetobacter baumannii 4190	26200428	VirSorter
886890	Acinetobacter baumannii 4190	26200428	VirSorter
886890	Acinetobacter baumannii 4190	26200428	VirSorter
886890	Acinetobacter baumannii 4190	26200428	VirSorter
1293574	Acinetobacter baumannii 48055	26200428	VirSorter
1293574	Acinetobacter baumannii 48055	26200428	VirSorter
1293574	Acinetobacter baumannii 48055	26200428	VirSorter
1216295	Acinetobacter baumannii 53264	26200428	VirSorter
1216295	Acinetobacter baumannii 53264	26200428	VirSorter
592014	Acinetobacter baumannii 6013113	26200428	VirSorter
525243	Acinetobacter baumannii 6013150	26200428	VirSorter
525243	Acinetobacter baumannii 6013150	26200428	VirSorter
525243	Acinetobacter baumannii 6013150	26200428	VirSorter
525243	Acinetobacter baumannii 6013150	26200428	VirSorter
525243	Acinetobacter baumannii 6013150	26200428	VirSorter
903937	Acinetobacter baumannii AA-014	26200428	VirSorter
1221244	Acinetobacter baumannii AB_1536-8	26200428	VirSorter
1221244	Acinetobacter baumannii AB_1536-8	26200428	VirSorter
1221244	Acinetobacter baumannii AB_1536-8	26200428	VirSorter
1221245	Acinetobacter baumannii AB_1582-8	26200428	VirSorter
1221245	Acinetobacter baumannii AB_1582-8	26200428	VirSorter
1221245	Acinetobacter baumannii AB_1582-8	26200428	VirSorter
1221245	Acinetobacter baumannii AB_1582-8	26200428	VirSorter
1221245	Acinetobacter baumannii AB_1582-8	26200428	VirSorter
1221246	Acinetobacter baumannii AB_1583-8	26200428	VirSorter
1221246	Acinetobacter baumannii AB_1583-8	26200428	VirSorter
1221246	Acinetobacter baumannii AB_1583-8	26200428	VirSorter
1221246	Acinetobacter baumannii AB_1583-8	26200428	VirSorter
1221246	Acinetobacter baumannii AB_1583-8	26200428	VirSorter
1221246	Acinetobacter baumannii AB_1583-8	26200428	VirSorter
1221247	Acinetobacter baumannii AB_1594-8	26200428	VirSorter
1221247	Acinetobacter baumannii AB_1594-8	26200428	VirSorter
1221248	Acinetobacter baumannii AB_1595-8	26200428	VirSorter
1221248	Acinetobacter baumannii AB_1595-8	26200428	VirSorter
1221248	Acinetobacter baumannii AB_1595-8	26200428	VirSorter
1221248	Acinetobacter baumannii AB_1595-8	26200428	VirSorter
1221248	Acinetobacter baumannii AB_1595-8	26200428	VirSorter
1221251	Acinetobacter baumannii AB_1766_8	26200428	VirSorter
1221251	Acinetobacter baumannii AB_1766_8	26200428	VirSorter
1221251	Acinetobacter baumannii AB_1766_8	26200428	VirSorter
1221252	Acinetobacter baumannii AB_2007-09-110-01-7	26200428	VirSorter
1221252	Acinetobacter baumannii AB_2007-09-110-01-7	26200428	VirSorter
1221252	Acinetobacter baumannii AB_2007-09-110-01-7	26200428	VirSorter
1221253	Acinetobacter baumannii AB_2007-16-25-01-7	26200428	VirSorter
