Vrus taxid	Virus name	Virus refseq 	pmid	Evidence	Based on
1118064	Bacillus phage BceA1	HE614282	22815791	Literature	database
1194641	Bacillus phage BtCS33	NC_018085		RefSeq	database
1357713	Bacillus phage phiCM3	NC_023599		RefSeq	database
1486657	Bacillus phage CAM003	NC_024216		RefSeq	database
1527469	Bacillus phage Bobb	NC_024792		RefSeq	database
1643324	Bacillus phage phi4B1	NC_028886		RefSeq	database
1643326	Bacillus phage phi4J1	NC_029008		RefSeq	database
1690456	Bacillus phage TsarBomba	NC_028890	26472830	Literature	database
1837830	Bacillus phage SalinJah	NC_031034		RefSeq	database
1852564	Bacillus phage Belinda	NC_031024		RefSeq	database
1873998	Bacillus phage Kida	NC_031012		RefSeq	database
1873999	Bacillus phage DirtyBetty	NC_031054		RefSeq	database
1874000	Bacillus phage Aurora	NC_031121		RefSeq	database
1874001	Bacillus phage Claudi	NC_031015		RefSeq	database
236750	Bacillus phage Bam35c	NC_005258		RefSeq	database
307240	Bacillus phage GIL16c	NC_006945		RefSeq	database
458639	Bacillus phage 0305phi8-36	NC_009760		RefSeq	database
552525	Bacillus virus IEBH	NC_011167		RefSeq	database
10876	Acholeplasma phage MV-L1	NC_001341		RefSeq	database
46014	Acholeplasma phage L2	NC_001447	8163159	Literature	database
1416008	Achromobacter phage JWDelta	KF787094		RefSeq	database
1416009	Achromobacter phage JWAlpha	NC_023556		RefSeq	database
1589746	Achromobacter phage JWX	NC_028768	24466294	Literature	database
1589747	Achromobacter phage 83-24	NC_028834	24466294	Literature	database
1589748	Achromobacter phage JWF	NC_029075		RefSeq	database
1610509	Achromobacter phage phiAxp-1	NC_029033	26908262	"Literature, RefSeq"	database
1664246	Achromobacter phage phiAxp-2	NC_029106		RefSeq	database
1664247	Achromobacter phage phiAxp-3	NC_028908		RefSeq	database
235266	Acidianus filamentous virus 1	NC_005830		UniProt	database
1049283	Acinetobacter phage ZZ1	NC_018087		RefSeq	database
1187128	Acinetobacter bacteriophage AP22	NC_017984		RefSeq	database
1221835	Acinetobacter phage Bphi-B1251	NC_019541		RefSeq	database
1235824	Acinetobacter phage Abp1	NC_021316		RefSeq	database
1243183	Acinetobacter phage IME-AB2	JX976549		RefSeq	database
1406779	Acinetobacter phage Petty	NC_023570		RefSeq	database
1458669	Acinetobacter phage IME_AB3	NC_023590		RefSeq	database
1481186	Acinetobacter phage vB_AbaM_Acibel004	NC_025462		RefSeq	database
1481187	Acinetobacter phage vB_AbaP_Acibel007	NC_025457		RefSeq	database
1505225	Acinetobacter phage YMC-13-01-C62	NC_024785		RefSeq	database
1560342	Acinetobacter phage YMC13/03/R2096	NC_027332		RefSeq	database
1605379	Acinetobacter phage vB_AbaM_phiAbaA1	NC_031280		RefSeq	database
1647373	Acinetobacter phage Fri1	NC_028848		RefSeq	database
1698439	Acinetobacter phage phiAB6	NC_031086		RefSeq	database
1701807	Acinetobacter phage vB_AbaP_PD-6A3	NC_028684		RefSeq	database
1701808	Acinetobacter phage vB_AbaP_PD-AB9	NC_028679		RefSeq	database
1735582	Acinetobacter phage vB_AbaM_IME200	NC_028987		RefSeq	database
1792222	Acinetobacter phage LZ35	NC_031117		RefSeq	database
691318	Acinetobacter phage phiAB1	NC_028675		RefSeq	database
889876	Acinetobacter phage AB1	HM368260		RefSeq	database
279006	Acinetobacter virus 133	NC_015250	21029436	Literature	database
760732	Acinetobacter phage Acj61	NC_014661	21029436	Literature	database
760939	Acinetobacter phage Acj9	NC_014663	21029436	Literature	database
1229760	Acinetobacter phage phiAC-1	NC_028995		RefSeq	database
1204516	Aeromonas phage CC2	NC_019538		RefSeq	database
1505227	Aeromonas phage pAh6-C	NC_025459		RefSeq	database
227470	Aeromonas virus Aeh1	NC_005260		RefSeq	database
1127514	Aeromonas phage vB_AsaM-56	NC_019527		RefSeq	database
115987	Aeromonas virus 44RR2	NC_005135		RefSeq	database
1198013	Aeromonas phage Aes508	NC_019543		RefSeq	database
233894	Aeromonas virus 25	NC_008208		RefSeq	database
260149	Aeromonas virus 65	NC_015251	"16828113, 21029436"	"Literature, RefSeq"	database
321023	Aeromonas virus 31	NC_007022		RefSeq	database
