
code	|	taxid	|	taxname	|	lineage
1	|	1005044	|	Haemophilus ducreyi 025	|	1005044 730 724 712 135625 1236 1224 2 131567 
1	|	1005045	|	Haemophilus ducreyi 511	|	1005045 730 724 712 135625 1236 1224 2 131567 
1	|	1005046	|	Haemophilus ducreyi ATCC 33921	|	1005046 730 724 712 135625 1236 1224 2 131567 
1	|	1005047	|	Haemophilus ducreyi HMC112	|	1005047 730 724 712 135625 1236 1224 2 131567 
1	|	1052677	|	Escherichia coli O104:H4 str. H112180282	|	1052677 1038927 562 561 543 91347 1236 1224 2 131567 
1	|	1055158	|	Loktanella sp. CB 2051	|	1055158 245186 31989 204455 28211 1224 2 131567 
1	|	1057002	|	Ensifer sp. BR816	|	1057002 106591 227292 82115 356 28211 1224 2 131567 
1	|	1062	|	Rhodobacter sp.	|	1062 1060 31989 204455 28211 1224 2 131567 
1	|	1069643	|	Escherichia coli O104:H4 str. H112180283	|	1069643 1038927 562 561 543 91347 1236 1224 2 131567 
1	|	1069645	|	Escherichia coli O104:H4 str. H112180540	|	1069645 1038927 562 561 543 91347 1236 1224 2 131567 
1	|	1073841	|	Escherichia coli O104:H4 str. GOS2	|	1073841 1038927 562 561 543 91347 1236 1224 2 131567 
1	|	1073985	|	Escherichia coli O104:H4 str. GOS1	|	1073985 1038927 562 561 543 91347 1236 1224 2 131567 
1	|	1089709	|	Salisaeta sp. SP9-1	|	1089709 689697 563843 1100069 976 68336 1783270 2 131567 
1	|	1089726	|	Halogeometricum sp. CG-9	|	1089726 60846 1644056 1644055 183963 28890 2157 131567 
1	|	1089732	|	Halogranum sp. SS5-1	|	1089732 695982 1644056 1644055 183963 28890 2157 131567 
1	|	1089735	|	Halorubrum sp. B2-2	|	1089735 56688 1963271 1644055 183963 28890 2157 131567 
1	|	1089748	|	Halorubrum sp. SP3-3	|	1089748 56688 1963271 1644055 183963 28890 2157 131567 
1	|	1089753	|	Halorubrum sp. SS5-4	|	1089753 56688 1963271 1644055 183963 28890 2157 131567 
1	|	1089759	|	Halorubrum sp. s5a-3	|	1089759 56688 1963271 1644055 183963 28890 2157 131567 
1	|	1091038	|	Streptococcus thermophilus DSM 20617	|	1091038 1308 1301 1300 186826 91061 1239 1783272 2 131567 
1	|	1122938	|	Pasteurella testudinis DSM 23072	|	1122938 761 745 712 135625 1236 1224 2 131567 
1	|	1123238	|	Atlantibacter subterranea DSM 16208	|	1123238 255519 1903434 543 91347 1236 1224 2 131567 
1	|	1123863	|	Pantoea ananatis LMG 5342	|	1123863 553 53335 1903409 91347 1236 1224 2 131567 
1	|	1126	|	Microcystis aeruginosa	|	1126 1125 1890449 1118 1301283 1117 1798711 1783272 2 131567 
1	|	1128108	|	Thermococcus prieurii	|	1128108 2263 2259 2258 183968 28890 2157 131567 
