
code	|	taxid	|	taxname	|	lineage
1	|	1000589	|	Streptococcus dysgalactiae subsp. equisimilis SK1249	|	1000589 119602 1334 119603 1301 1300 186826 91061 1239 1783272 2 131567 
1	|	1000590	|	Staphylococcus epidermidis 14.1.R1.SE	|	1000590 1282 1279 90964 1385 91061 1239 1783272 2 131567 
1	|	1000951	|	Vibrio cholerae HC-81A2	|	1000951 666 662 641 135623 1236 1224 2 131567 
1	|	1000952	|	Vibrio cholerae HC-17A2	|	1000952 666 662 641 135623 1236 1224 2 131567 
1	|	1000953	|	Vibrio cholerae HC-72A2	|	1000953 666 662 641 135623 1236 1224 2 131567 
1	|	1001530	|	Photobacterium leiognathi subsp. mandapamensis svers.1.1.	|	1001530 48408 553611 657 641 135623 1236 1224 2 131567 
1	|	1001582	|	Bacillus amyloliquefaciens LL3	|	1001582 1390 1938374 653685 1386 186817 1385 91061 1239 1783272 2 131567 
1	|	1001585	|	Pseudomonas mendocina NK-01	|	1001585 300 136841 286 135621 72274 1236 1224 2 131567 
1	|	1001588	|	Leptospira interrogans str. 2002000621	|	1001588 173 171 170 1643688 203692 203691 2 131567 
1	|	1001589	|	Leptospira weilii str. 2006001853	|	1001589 28184 171 170 1643688 203692 203691 2 131567 
1	|	1001593	|	Leptospira noguchii str. 2006001870	|	1001593 28182 171 170 1643688 203692 203691 2 131567 
1	|	1001601	|	Leptospira interrogans serovar Zanoni str. LT2156	|	1001601 312179 173 171 170 1643688 203692 203691 2 131567 
1	|	1001715	|	Mycobacterium abscessus 3A-0122-R	|	1001715 36809 670506 670516 1763 1762 85007 1760 201174 1783272 2 131567 
1	|	1001716	|	Mycobacterium abscessus 3A-0122-S	|	1001716 36809 670506 670516 1763 1762 85007 1760 201174 1783272 2 131567 
1	|	1001717	|	Mycobacterium abscessus 3A-0810-R	|	1001717 36809 670506 670516 1763 1762 85007 1760 201174 1783272 2 131567 
1	|	1001719	|	Mycobacterium abscessus 3A-0930-S	|	1001719 36809 670506 670516 1763 1762 85007 1760 201174 1783272 2 131567 
1	|	1001720	|	Mycobacterium abscessus 3A-0930-R	|	1001720 36809 670506 670516 1763 1762 85007 1760 201174 1783272 2 131567 
1	|	1001734	|	Mycobacterium abscessus 5S-1215	|	1001734 36809 670506 670516 1763 1762 85007 1760 201174 1783272 2 131567 
1	|	1001989	|	Escherichia coli PCN033	|	1001989 562 561 543 91347 1236 1224 2 131567 
1	|	100226	|	Streptomyces coelicolor A3(2)	|	100226 1902 1477431 1883 2062 85011 1760 201174 1783272 2 131567 
1	|	1002364	|	Hafnia alvei ATCC 51873	|	1002364 569 568 1903412 91347 1236 1224 2 131567 
1	|	1002365	|	Lactobacillus rhamnosus ATCC 21052	|	1002365 47715 1578 33958 186826 91061 1239 1783272 2 131567 
1	|	1002366	|	Listeria innocua ATCC 33091	|	1002366 1642 1637 186820 1385 91061 1239 1783272 2 131567 
1	|	1002368	|	Yokenella regensburgei ATCC 43003	|	1002368 158877 158876 543 91347 1236 1224 2 131567 
1	|	1002369	|	Clostridioides difficile 70-100-2010	|	1002369 1496 1870884 186804 186802 186801 1239 1783272 2 131567 
1	|	1003181	|	Candidatus Thiomargarita nelsonii	|	1003181 90372 135617 72273 1236 1224 2 131567 
1	|	1003185	|	Salmonella enterica subsp. enterica serovar Agona str. SA-1	|	1003185 58095 59201 28901 590 543 91347 1236 1224 2 131567 
