Vrus taxid	Virus name	Virus refseq 	Host tax id	pmid	Evidence
1118064	Bacillus phage BceA1	HE614282	1428	22815791	Literature
1194641	Bacillus phage BtCS33	NC_018085	1428		RefSeq
1357713	Bacillus phage phiCM3	NC_023599	1428		RefSeq
1486657	Bacillus phage CAM003	NC_024216	1428		RefSeq
1527469	Bacillus phage Bobb	NC_024792	1428		RefSeq
1643324	Bacillus phage phi4B1	NC_028886	1428		RefSeq
1643326	Bacillus phage phi4J1	NC_029008	1428		RefSeq
1690456	Bacillus phage TsarBomba	NC_028890	1428	26472830	Literature
1837830	Bacillus phage SalinJah	NC_031034	1428		RefSeq
1852564	Bacillus phage Belinda	NC_031024	1428		RefSeq
1873998	Bacillus phage Kida	NC_031012	1428		RefSeq
1873999	Bacillus phage DirtyBetty	NC_031054	1428		RefSeq
1874000	Bacillus phage Aurora	NC_031121	1428		RefSeq
1874001	Bacillus phage Claudi	NC_031015	1428		RefSeq
236750	Bacillus phage Bam35c	NC_005258	1428		RefSeq
307240	Bacillus phage GIL16c	NC_006945	1428		RefSeq
458639	Bacillus phage 0305phi8-36	NC_009760	1428		RefSeq
552525	Bacillus virus IEBH	NC_011167	1428		RefSeq
10876	Acholeplasma phage MV-L1	NC_001341	2148		RefSeq
46014	Acholeplasma phage L2	NC_001447	2148	8163159	Literature
1416008	Achromobacter phage JWDelta	KF787094	85698		RefSeq
1416009	Achromobacter phage JWAlpha	NC_023556	85698		RefSeq
1589746	Achromobacter phage JWX	NC_028768	85698	24466294	Literature
1589747	Achromobacter phage 83-24	NC_028834	85698	24466294	Literature
1589748	Achromobacter phage JWF	NC_029075	85698		RefSeq
1610509	Achromobacter phage phiAxp-1	NC_029033	85698	26908262	"Literature, RefSeq"
1664246	Achromobacter phage phiAxp-2	NC_029106	85698		RefSeq
1664247	Achromobacter phage phiAxp-3	NC_028908	85698		RefSeq
235266	Acidianus filamentous virus 1	NC_005830	563177		UniProt
1049283	Acinetobacter phage ZZ1	NC_018087	470		RefSeq
1187128	Acinetobacter bacteriophage AP22	NC_017984	470		RefSeq
1221835	Acinetobacter phage Bphi-B1251	NC_019541	470		RefSeq
1235824	Acinetobacter phage Abp1	NC_021316	470		RefSeq
1243183	Acinetobacter phage IME-AB2	JX976549	470		RefSeq
1406779	Acinetobacter phage Petty	NC_023570	470		RefSeq
1458669	Acinetobacter phage IME_AB3	NC_023590	470		RefSeq
1481186	Acinetobacter phage vB_AbaM_Acibel004	NC_025462	470		RefSeq
1481187	Acinetobacter phage vB_AbaP_Acibel007	NC_025457	470		RefSeq
1505225	Acinetobacter phage YMC-13-01-C62	NC_024785	470		RefSeq
1560342	Acinetobacter phage YMC13/03/R2096	NC_027332	470		RefSeq
1605379	Acinetobacter phage vB_AbaM_phiAbaA1	NC_031280	470		RefSeq
1647373	Acinetobacter phage Fri1	NC_028848	470		RefSeq
1698439	Acinetobacter phage phiAB6	NC_031086	470		RefSeq
1701807	Acinetobacter phage vB_AbaP_PD-6A3	NC_028684	470		RefSeq
1701808	Acinetobacter phage vB_AbaP_PD-AB9	NC_028679	470		RefSeq
1735582	Acinetobacter phage vB_AbaM_IME200	NC_028987	470		RefSeq
1792222	Acinetobacter phage LZ35	NC_031117	470		RefSeq
691318	Acinetobacter phage phiAB1	NC_028675	470		RefSeq
889876	Acinetobacter phage AB1	HM368260	470		RefSeq
279006	Acinetobacter virus 133	NC_015250	40214	21029436	Literature
760732	Acinetobacter phage Acj61	NC_014661	40214	21029436	Literature
760939	Acinetobacter phage Acj9	NC_014663	40214	21029436	Literature
1229760	Acinetobacter phage phiAC-1	NC_028995	487316		RefSeq
1204516	Aeromonas phage CC2	NC_019538	644		RefSeq
1505227	Aeromonas phage pAh6-C	NC_025459	644		RefSeq
227470	Aeromonas virus Aeh1	NC_005260	644		RefSeq
1127514	Aeromonas phage vB_AsaM-56	NC_019527	645		RefSeq
115987	Aeromonas virus 44RR2	NC_005135	645		RefSeq
1198013	Aeromonas phage Aes508	NC_019543	645		RefSeq
233894	Aeromonas virus 25	NC_008208	645		RefSeq
260149	Aeromonas virus 65	NC_015251	645	"16828113, 21029436"	"Literature, RefSeq"
321023	Aeromonas virus 31	NC_007022	645		RefSeq
879628	Aeromonas phage phiAS4	NC_014635	645		RefSeq
879630	Aeromonas phage phiAS5	NC_014636	645		RefSeq
926067	Aeromonas phage PX29	NC_023688	645	21029436	Literature
230158	Haemophilus phage Aaphi23	NC_004827	714		RefSeq
467481	Azospirillum phage Cd	NC_010355	192		RefSeq
1308863	Bacillus phage vB_BanS-Tsamsa	NC_023007	1392		RefSeq
345922	Bacillus phage Fah	NC_007814	1392		RefSeq
347966	Bacillus phage Cherry	DQ222851	1392		RefSeq
359961	Bacillus virus Wbeta	NC_007734	1392		RefSeq
513550	Bacillus phage AP50	NC_011523	1392		RefSeq
663237	Bacillus phage Wip1	NC_022094	1392		RefSeq
1118064	Bacillus phage BceA1	HE614282	1396	22815791	Literature
1126949	Bacillus phage B5S	JN797796	1396		RefSeq
1126950	Bacillus phage BCP78	NC_018860	1396		RefSeq
1126951	Bacillus phage BCU4	JN797798	1396		RefSeq
1129192	Bacillus phage BCP8-2	NC_027355	1396		RefSeq
1136534	Bacillus phage BCD7	NC_019515	1396		RefSeq
1136731	Bacillus phage BPS13	NC_018857	1396		RefSeq
1141133	Bacillus phage B4	NC_018863	1396		RefSeq
1161901	Bacillus phage PBC1	NC_017976	1396		RefSeq
1195072	Bacillus phage vB_BceM-Bc431v3	NC_020873	1396		RefSeq
1277886	Bacillus phage BPS10C	NC_023501	1396	24595561	Literature
1296655	Bacillus phage JL	NC_028982	1396	24459255	Literature
1296656	Bacillus phage Shanette	NC_028983	1396	24459255	Literature
1391188	Bacillus phage CP-51	NC_025423	1396		RefSeq
1643324	Bacillus phage phi4B1	NC_028886	1396		RefSeq
1643326	Bacillus phage phi4J1	NC_029008	1396		RefSeq
1690456	Bacillus phage TsarBomba	NC_028890	1396	26472830	Literature
1734382	Bacillus phage VMY22	NC_028789	1396	"25680445, 26941234"	"Literature, RefSeq"
1868599	Bacillus phage PfEFR-5	NC_031055	1396		RefSeq
225725	Bacillus phage phBC6A51	NC_004820	1396		RefSeq
225726	Bacillus phage phBC6A52	NC_004821	1396		RefSeq
345922	Bacillus phage Fah	NC_007814	1396		RefSeq
347962	Bacillus phage Gamma	NC_007458	1396		RefSeq
