Contigs id(VIRUS)	Sequence location	pmid	evidence
Clostridia_gi_223956448_2418564_2449606	26200428.fasta	26200428	VirSorter
Alphaproteobacteria_gi_483831584	26200428.fasta	26200428	VirSorter
Alphaproteobacteria_gi_483832087	26200428.fasta	26200428	VirSorter
Alphaproteobacteria_gi_421853582	26200428.fasta	26200428	VirSorter
Alphaproteobacteria_gi_329113603	26200428.fasta	26200428	VirSorter
Alphaproteobacteria_gi_329115469	26200428.fasta	26200428	VirSorter
Alphaproteobacteria_gi_547459329	26200428.fasta	26200428	VirSorter
Alphaproteobacteria_gi_339021592	26200428.fasta	26200428	VirSorter
Alphaproteobacteria_gi_339021902	26200428.fasta	26200428	VirSorter
Alphaproteobacteria_gi_339021999	26200428.fasta	26200428	VirSorter
Alphaproteobacteria_gi_339022256	26200428.fasta	26200428	VirSorter
Alphaproteobacteria_gi_339022435	26200428.fasta	26200428	VirSorter
Alphaproteobacteria_gi_374088007	26200428.fasta	26200428	VirSorter
Mollicutes_gi_162446888_614609_648901	26200428.fasta	26200428	VirSorter
Betaproteobacteria_gi_421483435	26200428.fasta	26200428	VirSorter
Betaproteobacteria_gi_421485108	26200428.fasta	26200428	VirSorter
Betaproteobacteria_gi_421486561	26200428.fasta	26200428	VirSorter
Negativicutes_gi_547818715	26200428.fasta	26200428	VirSorter
Betaproteobacteria_gi_120608714_2556822_2610901	26200428.fasta	26200428	VirSorter
Betaproteobacteria_gi_120608714_2613045_2631508	26200428.fasta	26200428	VirSorter
Betaproteobacteria_gi_241763567_0_44634	26200428.fasta	26200428	VirSorter
Betaproteobacteria_gi_241764055_7507_15116	26200428.fasta	26200428	VirSorter
Betaproteobacteria_gi_395009488_0_32631	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_544905836	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_384129960_1467048_1503647	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452305578	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452305893	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452305926	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452305980	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452306288	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452304327	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452304334	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452304370	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452304626	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452311496	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452311739	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452312103_0_28100	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452313998_2644_39699	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452314560	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452314573	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_452316241	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_481021876	26200428.fasta	26200428	VirSorter
Gammaproteobacteria_gi_481021882	26200428.fasta	26200428	VirSorter
